sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S16-3009-Χρώμα-Μαύρο-Μέγεθος-A,size,A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S16-3009-Χρώμα-Μαύρο-Μέγεθος-B,size,B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S16-3009-Χρώμα-Μαύρο-Μέγεθος-C,size,C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S16-3009-Χρώμα-Μαύρο-Μέγεθος-D,size,D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S16-3009-Χρώμα-Μαύρο-Μέγεθος-E,size,E,
W16-5007-Ανθρακί-A,,Default,simple,,,base,Ανθρακί,,,2015-11-22 18:41:14,,,,,"

",No,,,0,no_selection,,,,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση","μπουφάν, πανωφόρι, jacket",μπουφάν,,,Use config,Use config,Μπουφάν-Ανθρακί-A,,,Product Info Column,,138,0,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση",A,no_selection,,,,,1,0,no_selection,,2016-02-01 12:52:35,a,a.html,1,0,0,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
W16-5007-Ανθρακί-B,,Default,simple,,,base,Ανθρακί,,,2015-11-22 18:41:34,,,,,"

",No,,,0,no_selection,,,,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση","μπουφάν, πανωφόρι, jacket",μπουφάν,,,Use config,Use config,Μπουφάν-Ανθρακί-B,,,Product Info Column,,138,0,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση",B,no_selection,,,,,1,0,no_selection,,2016-02-13 01:43:15,b,b.html,1,0,0,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
W16-5007-Ανθρακί-C,,Default,simple,,,base,Ανθρακί,,,2015-11-22 18:41:47,,,,,"

",No,,,0,no_selection,,,,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση","μπουφάν, πανωφόρι, jacket",μπουφάν,,,Use config,Use config,Μπουφάν-Ανθρακί-C,,,Product Info Column,,138,0,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση",C,no_selection,,,,,1,0,no_selection,,2016-02-01 12:53:03,c,c.html,1,0,0,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
W16-5007-Ανθρακί-D,,Default,simple,,,base,Ανθρακί,,,2015-11-22 18:41:59,,,,,"

",No,,,0,no_selection,,,,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση","μπουφάν, πανωφόρι, jacket",μπουφάν,,,Use config,Use config,Μπουφάν-Ανθρακί-D,,,Product Info Column,,138,0,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση",D,no_selection,,,,,1,0,no_selection,,2016-02-01 12:53:23,d,d.html,1,0,0,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
W16-5007-Ανθρακί-E,,Default,simple,,,base,Ανθρακί,,,2015-11-22 18:42:10,,,,,"

",No,,,0,no_selection,,,,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση","μπουφάν, πανωφόρι, jacket",μπουφάν,,,Use config,Use config,Μπουφάν-Ανθρακί-E,,,Product Info Column,,138,0,"Μπουφάν τύπου ""δερματίνη"" με εσωτερική γούνινη επένδυση",E,no_selection,,,,,1,0,no_selection,,2016-02-01 12:53:46,e,e.html,1,0,0,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
